sec,nanosec
1718657234,81414463
1718657234,181435408
1718657234,281483667
1718657234,684695926
1718657234,781558185
1718657234,881766148
1718657234,981639870
1718657235,81282481
1718657235,181554907
1718657235,281288314
1718657235,381512277
1718657235,481507740
1718657235,581773407
1718657235,681969944
1718657235,781669277
1718657235,881308481
1718657235,981415814
1718657236,81349666
1718657236,181441962
1718657236,282423480
1718657236,381737943
1718657236,481305740
1718657236,581518240
1718657236,681238258
1718657236,781988702
1718657236,881511776
1718657236,981560202
1718657237,81399091
1718657237,181477165
1718657237,281319221
1718657237,381250758
1718657237,481387646
1718657237,581403850
1718657237,681459609
1718657237,781395035
1718657237,881391276
1718657237,981598887
1718657238,81341905
1718657238,181478516
1718657238,281900683
1718657238,381492275
1718657238,481957238
1718657238,581365183
1718657238,681549701
1718657238,781288090
1718657238,881291868
1718657238,981537997
1718657239,81514516
1718657239,181609849
1718657239,281527516
1718657239,381372367
1718657239,481368941
1718657264,81427482
1718657264,181299149
1718657287,481547987
1718657287,581304431
1718657303,81262255
1718657303,181416700
1718657303,281297385
1718657303,381294570
1718657313,181400435
1718657313,281308546
1718657325,881249964
1718657325,981408038
1718657341,481543010
1718657341,581524270
1718657352,81335708
1718657352,181342782
1718657364,781561348
1718657364,881257700
1718657392,781349054
1718657392,881332350
1718657417,781507854
1718657417,881520817
1718657893,968970033
1718657894,69898366
1718657894,569357403
1718657894,668911662
1718657894,768951051
1718657906,368894377
1718657906,469027766
1718657906,868896821
